12/02/2024,Carnaval,FACULTATIVO,"Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
13/02/2024,Carnaval,FACULTATIVO,"Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
14/02/2024,Carnaval,FACULTATIVO,Ponto Facultativo até às 14h.,,
30/05/2024,Corpus Christi,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",,
15/10/2024,Dia do Professor,FACULTATIVO,"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I, baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""",,
28/10/2024,Dia do Servidor Público,FACULTATIVO,O dia do servidor público é feriado apenas para funcionários públicos.,,
08/12/2024,Ponto Facultativo,FACULTATIVO,Nossa Senhora da Conceição,,
31/10/2024,Dia do Evangélico,FACULTATIVO,Dia do Evangélico,,
20/11/2024,Dia da Consciência Negra,FACULTATIVO,"Lei Municipal No 1985, de 2009. Prefeitura não funcionará. O Comércio deverá Funcionar normalmente",,
19/03/2024,Dia de São José,FACULTATIVO,Padroeiro do Estado do Ceará,,
26/07/2024,Fundação da Cidade de Goiás,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",,
24/10/2024,Pedra fundamental de Goiânia,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",,
13/02/2024,Terça de Carnaval,FACULTATIVO,"Feriado apenas no Comércio, segundo Lei nº 5913, de 21 de junho de 1991",,
28/02/2024,Facultativo,FACULTATIVO,"aniversário de morte de José Pedro Dias, fundador de Juara",,
28/10/2024,Servidor público,FACULTATIVO,"Ponto facultativo, Dia do Servidor Público",,
08/12/2024,Dia da Imaculada Conceição,FACULTATIVO,"Dia da Imaculada Conceição, padroeira da cidade",,
08/12/2024,N. Sra. da Conceição,FACULTATIVO,Nossa Senhora da Conceição,,
28/10/2024,Ponto Facultativo Municipal,FACULTATIVO,Dia do Servidor Público - art. 249 da Lei Municipal nº 2.215/1991,,
29/06/2024,São Pedro,FACULTATIVO,,,
28/03/2024,Quinta-feira santa,FACULTATIVO,,,
12/02/2024,Segunda de Carnaval,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
14/02/2024,Quarta Feira de Cinzas,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
31/12/2024,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO,De acordo com o Decreto nº 18882-E de 01 de junho de 2015,,
19/03/2024,São José,FACULTATIVO,Dia de São José padroeiro de Mafra,,
30/06/2024,Emancipação,FACULTATIVO,Emancipação político-administrativa do município,,
20/11/2024,Consciência Negra,FACULTATIVO,Dia da Consciência Negra. Ponto Facultativo de acordo com a Lei Municipal 2484/2008,,
